Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75397","PR1000052","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000052","Corporate Expenses - Luxco PI'ng",25125.35000,"EUR","Yes",29269.77000,"USD","Gavadza, Olena",2017-11-02 12:20:43.577,Investran,2017-11-03 15:03:39.197
"75400","IN1000054","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000054","Project Bell",24618.75000,"AUD","Yes",24333.60000,"CAD","Gavadza, Olena",2017-11-02 14:26:01.667,Investran,2017-11-03 15:06:36.390
"75401","69799A982","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M69799A982","Puget Energy",5165.82000,"USD","Yes",6659.26000,"CAD","Gavadza, Olena",2017-11-02 14:26:02.263,Investran,2017-11-03 15:07:03.473
"75402","IN1000040","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000040","Transportadora de Gas del Perú S.A. (Carmen Corp)",7276.55000,"USD","Yes",9380.20000,"CAD","Gavadza, Olena",2017-11-02 14:26:02.887,Investran,2017-11-03 15:10:08.023
"75403","IN1000003","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999992","Corporate Expenses - Infrastructure",11679.88000,"CAD","Yes",11679.88000,"CAD","Gavadza, Olena",2017-11-02 14:26:03.650,Investran,2017-11-03 15:10:26.573
"75404","IN1000003","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999992","Corporate Expenses - Infrastructure",9569.93000,"CAD","Yes",9569.93000,"CAD","Gavadza, Olena",2017-11-02 14:26:04.187,Investran,2017-11-03 15:10:42.317
"75405","IN1000003","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999992","Corporate Expenses - Infrastructure",13319.67000,"CAD","Yes",13319.67000,"CAD","Gavadza, Olena",2017-11-02 14:26:04.850,Investran,2017-11-03 15:11:00.920
"75406","IN1000003","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999992","Corporate Expenses - Infrastructure",12082.44000,"CAD","Yes",12082.44000,"CAD","Gavadza, Olena",2017-11-02 14:26:05.390,Investran,2017-11-03 15:11:20.507
"75407","FS1000359","3","Approved pending payment {0}","1","Capital Call",2017-11-14 00:00:00.000,2017-11-14 00:00:00.000,"MFS1000359","Hillhouse Fund II, L.P.",888078.55000,"USD","Yes",888078.55000,"USD","2017/11/14",2017-11-02 14:31:07.160,Investran,2017-11-03 20:04:35.533
"75408","PD1000372","1","Pending approval by {0}","2","Cash Distribution",2017-10-30 00:00:00.000,2017-10-31 00:00:00.000,"MPD1000372","Alltech USD L+6.75 07/22/2023",1032204.14000,"USD","No",0," ","Bradford, Alexandra",2017-11-02 14:38:27.877,WSO,2017-11-06 10:57:32.790
"75409","PD1000279","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPD1000279","Project Holster",3437.50000,"USD","No",0," "," ",2017-11-02 14:39:16.907,NULL,2017-11-02 17:12:24.220
"75410","PD1000397","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPD1000279","Project Holster 8 Revolver",6381.24000,"USD","Yes",6381.24000,"USD"," ",2017-11-02 14:40:31.923,NULL,2017-11-02 17:12:58.573
"75411","PD1000334","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPD1000279","Project Holster - Public",1730.11000,"USD","Yes",1730.11000,"USD"," ",2017-11-02 14:41:27.543,NULL,2017-11-02 17:12:51.540
"75412","PD1000385","4","Closed","5","Sell",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPD1000279","Project Holster 7 Revolver",290393.62000,"USD","Yes",290393.62000,"USD"," ",2017-11-02 14:42:46.593,NULL,2017-11-02 17:12:33.150
"75413","PD1000397","4","Closed","4","Buy",2017-10-31 00:00:00.000,2017-11-03 00:00:00.000,"MPD1000279","Project Holster 8 Revolver",144750.00000,"USD","Yes",144750.00000,"USD"," ",2017-11-02 14:43:59.613,NULL,2017-11-03 08:52:25.737
